,first_city,second_city,length,speed_limit,name_of_highway,Junction
7459,"Jct_FL_417_&_Bee-Line,_Florida","Jct_FL_417_&_CR_527A,_Florida",9,65,Greeneway_[FL_417],1
7460,"Jct_FL_417_&_Bee-Line,_Florida","Jct_FL_417_&_E-W_Expwy,_Florida",7,65,Greeneway_[FL_417],1
7461,"Jct_FL_417_&_Bee-Line,_Florida","Orlando_Airport,_Florida",4,55,Bee-Line_Expwy_[FL_528],1
7462,"Jct_FL_417_&_CR_527A,_Florida","Jct_FL_417_&_US_17/92/441,_Florida",4,55,Greeneway_[FL_417],1
7463,"Jct_FL_417_&_CR_527A,_Florida","Orlando_Airport,_Florida",6,40,CR_527A_&_South_Access_Rd,1
7464,"Jct_FL_417_&_E-W_Expwy,_Florida","Titusville,_Florida",26,52,FL_50,1
7465,"Jct_FL_417_&_US_17/92/441,_Florida","Kissimmee,_Florida",6,52,US_17/92/441,1
7466,"Jct_FL_417_&_US_17/92/441,_Florida","Lake_Buena_Vista,_Florida",11,55,Greeneway_[FL_417],1
7467,"Jct_I-10_&_FL_71,_Florida","Jct_I-10_&_US_231,_Florida",12,65,I-10,1
7468,"Jct_I-10_&_FL_71,_Florida","Marianna,_Florida",8,45,FL_71_&_US_90,1
7469,"Jct_I-10_&_FL_71,_Florida","Tallahassee,_Florida",47,65,I-10,1
7470,"Jct_I-10_&_I-110,_Florida","Loxley,_Alabama",35,65,I-10,1
7471,"Jct_I-10_&_I-110,_Florida","Molino,_Florida",21,52,US_29,1
7472,"Jct_I-10_&_I-110,_Florida","Pensacola,_Florida",6,55,I-110,1
7473,"Jct_I-10_&_I-12,_Louisiana","La_Place,_Louisiana",51,65,I-10,1
7474,"Jct_I-10_&_I-295,_Florida","Jct_I-295_&_US_1,_Florida",7,55,I-295,1
7475,"Jct_I-10_&_I-295,_Florida","Orange_Park,_Florida",11,55,I-295,1
7476,"Jct_I-10_&_I-410_E,_Texas","San_Antonio,_Texas",6,40,I-10,1
7477,"Jct_I-10_&_I-410_E,_Texas","Seguin,_Texas",29,65,I-10,1
7478,"Jct_I-10_&_I-610_W,_Texas","Jct_I-610_&_US_290,_Texas",1,55,I-610,1
7479,"Jct_I-10_&_US_191,_Arizona","Lordsburg,_New_Mexico",59,65,I-10,1
7480,"Jct_I-10_&_US_191,_Arizona","Safford,_Arizona",32,45,US_191,1
7481,"Jct_I-10_&_US_191,_Arizona","Willcox,_Arizona",21,65,I-10,1
7482,"Jct_I-10_&_US_231,_Florida","Jct_US_231_&_FL_73,_Florida",8,45,US_231,1
7483,"Jct_I-10_&_US_231,_Florida","Panama_City,_Florida",47,52,US_231,1
7484,"Jct_I-135_&_I-235_N,_Kansas","Jct_I-135_&_KS_96,_Kansas",2,55,I-135,1
7485,"Jct_I-135_&_I-235_N,_Kansas","Jct_I-235_&_KS_96,_Kansas",3,55,I-235,1
7486,"Jct_I-135_&_I-235_N,_Kansas","Jct_I-35_&_KS_254,_Kansas",21,45,KS_254,1
7487,"Jct_I-135_&_I-235_N,_Kansas","Newton,_Kansas",18,65,I-135,1
7488,"Jct_I-135_&_KS_96,_Kansas","Jct_I-35;_US_54/400_&_KS_96,_Kansas",10,55,KS_96,1
7489,"Jct_I-135_&_KS_96,_Kansas","Wichita,_Kansas",5,40,I-135,1
7490,"Jct_I-15_&_US_395,_California","Victorville,_California",8,65,I-15,1
7491,"Jct_I-16_&_GA_96,_Georgia","Macon,_Georgia",25,65,I-16,1
7492,"Jct_I-16_&_GA_96,_Georgia","Tarversville,_Georgia",8,45,GA_96,1
7493,"Jct_I-16_&_I-95,_Georgia","Register,_Georgia",41,65,I-16,1
7494,"Jct_I-16_&_I-95,_Georgia","Richmond_Hill,_Georgia",11,65,I-95,1
7495,"Jct_I-16_&_I-95,_Georgia","Savannah,_Georgia",8,55,I-16,1
7496,"Jct_I-16_&_US_221,_Georgia","Oak_Park,_Georgia",14,65,I-16,1
7497,"Jct_I-164_&_IN_66,_Indiana","Jct_I-164_&_US_41,_Indiana",7,55,I-164,1
7498,"Jct_I-164_&_IN_66,_Indiana","Stevenson,_Indiana",1,55,I-164,1
7499,"Jct_I-17_&_AZ_69,_Arizona","Phoenix,_Arizona",68,65,I-17,1
7500,"Jct_I-17_&_AZ_69,_Arizona","Prescott,_Arizona",34,45,AZ_69,1
7501,"Jct_I-17_&_AZ_69,_Arizona","Rimrock,_Arizona",31,65,I-17,1
7502,"Jct_I-180_&_IL_29,_Illinois","Malden,_Illinois",10,65,I-180,1
7503,"Jct_I-180_&_IL_29,_Illinois","Sparland,_Illinois",17,45,IL_29,1
7504,"Jct_I-190_&_MA_2,_Massachusetts","Leominster,_Massachusetts",1,65,MA_2,1
7505,"Jct_I-190_&_MA_2,_Massachusetts","Worcester,_Massachusetts",21,65,I-190,1
7506,"Jct_I-195_&_I-295,_New_Jersey","Trenton,_New_Jersey",4,30,US_206,1
7507,"Jct_I-20_&_I-220,_Louisiana","Jct_I-220_&_US_71,_Louisiana",6,65,I-220,1
7508,"Jct_I-20_&_I-220,_Louisiana","Jct_US_171_&_LA_3132,_Louisiana",4,55,LA_3132,1
7509,"Jct_I-20_&_I-220,_Louisiana","Marshall,_Texas",31,65,I-20,1
7510,"Jct_I-20_&_I-220,_Louisiana","Shreveport,_Louisiana",8,55,I-20,1
7511,"Jct_I-20_&_I-220,_Mississippi","Jct_I-220_&_US_49,_Mississippi",5,55,I-220,1
7512,"Jct_I-20_&_I-26,_South_Carolina","Jct_I-20_&_SC_19,_South_Carolina",46,65,I-20,1
7513,"Jct_I-20_&_I-26,_South_Carolina","Jct_I-20_&_US_321,_South_Carolina",5,55,I-20,1
7514,"Jct_I-20_&_I-26,_South_Carolina","Jct_I-26_&_I-126,_South_Carolina",1,55,I-26,1
7515,"Jct_I-20_&_I-26,_South_Carolina","Newberry,_South_Carolina",35,65,I-26,1
7516,"Jct_I-20_&_I-26,_South_Carolina","Saluda,_South_Carolina",36,45,US_378,1
7517,"Jct_I-20_&_I-285_E,_Georgia","Jct_I-285_&_I-675,_Georgia",6,55,I-285,1
7518,"Jct_I-20_&_I-285_E,_Georgia","Jct_I-85_&_I-285_E,_Georgia",13,55,I-285,1
7519,"Jct_I-20_&_I-285_E,_Georgia","Madison,_Georgia",56,65,I-20,1
7520,"Jct_I-20_&_I-285_W,_Georgia","Jct_I-75_&_I-285_N,_Georgia",10,55,I-285,1
7521,"Jct_I-20_&_I-285_W,_Georgia","Jct_I-85_&_I-285_W,_Georgia",9,55,I-285,1
7522,"Jct_I-20_&_I-285_W,_Georgia","Lithia_Springs,_Georgia",7,55,I-20,1
7523,"Jct_I-20_&_I-35E,_Texas","Waxahachie,_Texas",14,65,I-35E,1
7524,"Jct_I-20_&_I-35E,_Texas","Woodland_Hills,_Texas",3,55,I-20,1
7525,"Jct_I-20_&_I-520,_Georgia","Jct_I-520_&_US_1,_Georgia",5,55,I-520,1
7526,"Jct_I-20_&_I-520,_Georgia","Martinez,_Georgia",3,65,I-20,1
7527,"Jct_I-20_&_I-59,_Mississippi","Laurel,_Mississippi",49,65,I-59,1
7528,"Jct_I-20_&_I-59,_Mississippi","Meridian,_Mississippi",5,55,I-20/59,1
7529,"Jct_I-20_&_I-59,_Mississippi","Newton,_Mississippi",22,65,I-20,1
7530,"Jct_I-20_&_I-77,_South_Carolina","Jct_I-20_&_US_321,_South_Carolina",7,55,I-20,1
7531,"Jct_I-20_&_I-77,_South_Carolina","Jct_I-77_&_US_76,_South_Carolina",7,55,I-77,1
7532,"Jct_I-20_&_I-77,_South_Carolina","Richburg,_South_Carolina",48,65,I-77,1
7533,"Jct_I-20_&_SC_19,_South_Carolina","Trenton,_South_Carolina",9,45,SC_19,1
7534,"Jct_I-210_&_CA_118,_California","Jct_I-5_&_CA_118,_California",3,55,CA_118,1
7535,"Jct_I-210_&_CA_118,_California","Montrose,_California",14,55,I-210,1
7536,"Jct_I-210_&_CA_118,_California","San_Fernando,_California",5,55,I-210,1
7537,"Jct_I-220_&_LA_3,_Louisiana","Jct_I-220_&_US_71,_Louisiana",3,65,I-220,1
7538,"Jct_I-220_&_LA_3,_Louisiana","Lewisville,_Arkansas",57,45,LA_3/AR_29,1
7539,"Jct_I-220_&_LA_3,_Louisiana","Red_Chute,_Louisiana",7,65,I-220,1
7540,"Jct_I-220_&_US_49,_Mississippi","Ridgeland,_Mississippi",7,55,I-220,1
7541,"Jct_I-220_&_US_71,_Louisiana","Shreveport,_Louisiana",4,30,US_71,1
7542,"Jct_I-220_&_US_71,_Louisiana","Texarkana,_Arkansas",70,45,US_71,1
7543,"Jct_I-235_&_KS_96,_Kansas","Jct_I-235_&_US_54,_Kansas",7,55,I-235,1
7544,"Jct_I-235_&_KS_96,_Kansas","South_Hutchinson,_Kansas",41,45,KS_96,1
7545,"Jct_I-235_&_US_54,_Kansas","Jct_I-35_&_I-135,_Kansas",8,55,I-235,1
7546,"Jct_I-235_&_US_54,_Kansas","Waterloo,_Kansas",31,52,US_54/400,1
7547,"Jct_I-235_&_US_54,_Kansas","Wichita,_Kansas",3,40,US_54/400,1
7548,"Jct_I-24_&_I-40,_Tennessee","Jct_I-24_&_I-440,_Tennessee",2,40,I-24,1
7549,"Jct_I-24_&_I-40,_Tennessee","Jct_I-40_&_TN_155,_Tennessee",2,40,I-40,1
7550,"Jct_I-24_&_I-40,_Tennessee","Nashville,_Tennessee",2,40,I-24/40,1
7551,"Jct_I-24_&_I-440,_Tennessee","Jct_I-24_&_TN_840,_Tennessee",24,65,I-24,1
7552,"Jct_I-24_&_I-440,_Tennessee","Oak_Hill,_Tennessee",2,40,I-440,1
7553,"Jct_I-24_&_I-59,_Georgia","Kimball,_Tennessee",15,65,I-24,1
7554,"Jct_I-24_&_I-59,_Georgia","Trenton,_Georgia",8,65,I-59,1
7555,"Jct_I-24_&_I-65,_Tennessee","Jct_I-24_&_US_431,_Tennessee",10,55,I-24,1
7556,"Jct_I-24_&_I-65,_Tennessee","Jct_I-65_&_TN_155,_Tennessee",2,55,I-65,1
7557,"Jct_I-24_&_I-65,_Tennessee","Nashville,_Tennessee",6,40,I-24/65,1
7558,"Jct_I-24_&_I-75,_Tennessee","Jct_I-75_&_TN_153,_Tennessee",3,65,I-75,1
7559,"Jct_I-24_&_TN_840,_Tennessee","Jct_I-40_&_TN_840,_Tennessee",25,65,TN_840,1
7560,"Jct_I-24_&_TN_840,_Tennessee","Murfreesboro,_Tennessee",7,65,I-24,1
7561,"Jct_I-24_&_US_431,_Tennessee","Springfield,_Tennessee",15,45,US_431,1
7562,"Jct_I-24_&_US_431,_Tennessee","St._Bethlehem,_Tennessee",29,65,I-24,1
7563,"Jct_I-240_&_TN_385,_Tennessee","Jct_I-240_&_US_72_E,_Tennessee",2,55,I-240,1
7564,"Jct_I-240_&_TN_385,_Tennessee","Jct_I-240_&_US_78_S,_Tennessee",4,55,I-240,1
7565,"Jct_I-240_&_US_51,_Tennessee","Jct_I-40_&_I-240,_Tennessee",9,55,I-40/240,1
7566,"Jct_I-240_&_US_51,_Tennessee","Memphis,_Tennessee",3,55,I-40/240,1
7567,"Jct_I-240_&_US_51,_Tennessee","Millington,_Tennessee",10,40,US_51,1
7568,"Jct_I-240_&_US_72_E,_Tennessee","Jct_I-40_&_I-240,_Tennessee",4,55,I-240,1
7569,"Jct_I-240_&_US_72_E,_Tennessee","Memphis,_Tennessee",10,25,US_72,1
7570,"Jct_I-240_&_US_78_S,_Tennessee","Jct_I-55_&_I-240,_Tennessee",4,55,I-240,1
7571,"Jct_I-240_&_US_78_S,_Tennessee","Memphis,_Tennessee",6,25,US_78,1
7572,"Jct_I-244_&_US_169,_Oklahoma","Jct_I-44_&_I-244_E,_Oklahoma",2,55,I-244,1
7573,"Jct_I-244_&_US_169,_Oklahoma","Jct_I-44_&_US_169,_Oklahoma",2,55,US_169,1
7574,"Jct_I-244_&_US_169,_Oklahoma","Tulsa,_Oklahoma",6,40,I-244,1
7575,"Jct_I-244_&_US_75_S,_Oklahoma","Jct_I-44_&_I-244_W,_Oklahoma",2,55,I-244,1
7576,"Jct_I-244_&_US_75_S,_Oklahoma","Jct_I-44_&_US_75,_Oklahoma",2,55,US_75,1
7577,"Jct_I-244_&_US_75_S,_Oklahoma","Tulsa,_Oklahoma",5,40,I-244,1
7578,"Jct_I-25_&_CO_14,_Colorado","Kelim,_Colorado",12,65,I-25,1
7579,"Jct_I-25_&_WY_387,_Wyoming","Wright,_Wyoming",63,45,WY_387,1
7580,"Jct_I-26_&_I-126,_South_Carolina","Jct_I-26_&_I-77,_South_Carolina",8,55,I-26,1
7581,"Jct_I-26_&_I-77,_South_Carolina","Jct_I-77_&_US_76,_South_Carolina",9,55,I-77,1
7582,"Jct_I-26_&_I-95,_South_Carolina","Jct_I-26_&_US_301,_South_Carolina",15,65,I-26,1
7583,"Jct_I-26_&_I-95,_South_Carolina","Santee,_South_Carolina",11,65,I-95,1
7584,"Jct_I-26_&_US_301,_South_Carolina","Orangeburg,_South_Carolina",8,52,US_301,1
7585,"Jct_I-26_&_US_301,_South_Carolina","Santee,_South_Carolina",14,52,US_301,1
7586,"Jct_I-275_&_US_24,_Michigan","Monroe,_Michigan",8,45,US_24,1
7587,"Jct_I-275_&_US_24,_Michigan","Newport,_Michigan",3,65,I-275,1
7588,"Jct_I-275_&_US_24,_Michigan","Romulus,_Michigan",16,65,I-275,1
7589,"Jct_I-275_&_US_24,_Michigan","Southgate,_Michigan",13,40,US_24,1
7590,"Jct_I-280_&_CA_92,_California","Jct_I-280_&_I-380,_California",10,55,I-280,1
7591,"Jct_I-280_&_CA_92,_California","San_Mateo,_California",4,55,CA_92,1
7592,"Jct_I-280_&_CA_92,_California","Woodside,_California",8,55,I-280,1
7593,"Jct_I-280_&_I-380,_California","San_Bruno,_California",3,40,I-380,1
7594,"Jct_I-280_&_I-680,_California","Jct_I-680_&_CA_237,_California",7,55,I-680,1
7595,"Jct_I-280_&_I-680,_California","San_Jose,_California",4,40,US_101,1
7596,"Jct_I-280_&_US_61,_Iowa","Jct_I-80_&_I-280,_Iowa",7,55,I-280,1
7597,"Jct_I-280_&_US_61,_Iowa","Jct_US_61_&_IA_38,_Iowa",20,45,US_61,1
7598,"Jct_I-280_&_US_61,_Iowa","Milan,_Illinois",4,55,I-280,1
7599,"Jct_I-285_&_I-675,_Georgia","Jct_I-75_&_I-285_S,_Georgia",6,55,I-285,1
7600,"Jct_I-285_&_I-675,_Georgia","Jct_I-75_&_I-675,_Georgia",10,55,I-675,1
7601,"Jct_I-29_&_I-129,_Iowa","Jct_US_20_&_Business_US_20,_Iowa",4,55,US_20,1
7602,"Jct_I-29_&_I-129,_Iowa","Sioux_City,_Iowa",4,55,I-29,1
7603,"Jct_I-29_&_I-129,_Iowa","Sloan,_Iowa",17,65,I-29,1
7604,"Jct_I-29_&_I-129,_Iowa","South_Sioux_City,_Nebraska",3,55,I-129,1
7605,"Jct_I-29_&_I-229,_South_Dakota","Jct_I-29_&_I-90,_South_Dakota",7,55,I-29,1
7606,"Jct_I-29_&_I-229,_South_Dakota","Sioux_Falls,_South_Dakota",6,55,I-229,1
7607,"Jct_I-29_&_I-229,_South_Dakota","Worthing,_South_Dakota",13,65,I-29,1
7608,"Jct_I-29_&_I-229_N,_Missouri","Jct_I-29_&_US_159,_Missouri",53,65,I-29,1
7609,"Jct_I-29_&_I-229_N,_Missouri","Jct_I-29_&_US_169_N,_Kansas",5,55,I-29,1
7610,"Jct_I-29_&_I-229_N,_Missouri","Maryville,_Missouri",32,45,US_71,1
7611,"Jct_I-29_&_I-229_N,_Missouri","St._Joseph,_Missouri",9,55,I-229,1
7612,"Jct_I-29_&_I-229_S,_Missouri","Jct_I-29_&_US_36,_Missouri",3,55,I-29,1
7613,"Jct_I-29_&_I-229_S,_Missouri","Platte_City,_Missouri",27,65,I-29,1
7614,"Jct_I-29_&_I-229_S,_Missouri","St._Joseph,_Missouri",6,40,I-229,1
7615,"Jct_I-29_&_I-35,_Missouri","Kansas_City,_Missouri",5,40,I-35,1
7616,"Jct_I-29_&_I-35,_Missouri","Northmoor,_Missouri",2,40,I-29,1
7617,"Jct_I-29_&_I-35,_Missouri","Pleasant_Valley,_Missouri",4,55,I-35,1
7618,"Jct_I-29_&_I-435_E,_Missouri","Jct_I-29_&_MO_152,_Missouri",5,55,I-29,1
7619,"Jct_I-29_&_I-435_E,_Missouri","Jct_I-435_&_US_169,_Missouri",6,55,I-435,1
7620,"Jct_I-29_&_I-435_E,_Missouri","Platte_City,_Missouri",4,65,I-29,1
7621,"Jct_I-29_&_I-480,_Iowa","Jct_I-29_&_I-80_W,_Iowa",2,55,I-29,1
7622,"Jct_I-29_&_I-480,_Iowa","Jct_I-80_&_US_6,_Iowa",7,30,US_6,1
7623,"Jct_I-29_&_I-480,_Iowa","Omaha,_Nebraska",2,40,I-480,1
7624,"Jct_I-29_&_I-80_W,_Iowa","Jct_I-80_&_I-480,_Nebraska",3,55,I-80,1
7625,"Jct_I-29_&_I-90,_South_Dakota","Jct_I-90_&_I-229,_South_Dakota",4,55,I-90,1
7626,"Jct_I-29_&_I-90,_South_Dakota","Lone_Tree,_South_Dakota",25,65,I-29,1
7627,"Jct_I-29_&_I-94,_North_Dakota","Jct_I-94_&_US_75,_Minnesota",4,55,I-94,1
7628,"Jct_I-29_&_I-94,_North_Dakota","Mooreton,_North_Dakota",40,65,I-29,1
7629,"Jct_I-29_&_I-94,_North_Dakota","West_Fargo,_North_Dakota",6,65,I-94,1
7630,"Jct_I-29_&_IA_2,_Iowa","Jct_US_275_&_IA_2_S,_Iowa",7,45,IA_2,1
7631,"Jct_I-29_&_IA_2,_Iowa","Nebraska_City,_Nebraska",6,52,IA/NE_2,1
7632,"Jct_I-29_&_IA_2,_Iowa","Pacific_Junction,_Iowa",22,65,I-29,1
7633,"Jct_I-29_&_IA_370,_Iowa","Jct_I-29_&_US_34_N,_Iowa",7,65,I-29,1
7634,"Jct_I-29_&_IA_370,_Iowa","Jct_US_275_&_IA_370,_Iowa",2,45,IA_370,1
7635,"Jct_I-29_&_MB_75,_Manitoba","Jct_I-29_&_US_81_N,_North_Dakota",14,65,I-29,1
7636,"Jct_I-29_&_MB_75,_Manitoba","Winnipeg,_Manitoba",54,35,MB_75,1
7637,"Jct_I-29_&_MO_152,_Missouri","Jct_I-435_&_MO_152_W,_Missouri",5,55,MO_152,1
7638,"Jct_I-29_&_MO_152,_Missouri","Jct_US_169_&_MO_152,_Missouri",4,30,MO_152,1
7639,"Jct_I-29_&_ND_200_N,_North_Dakota","Jct_I-29_&_ND_200_S,_North_Dakota",11,65,I-29,1
7640,"Jct_I-29_&_ND_54,_North_Dakota","Manvel,_North_Dakota",9,65,I-29,1
7641,"Jct_I-29_&_ND_54,_North_Dakota","Warren,_Minnesota",19,45,MN_1/ND_54,1
7642,"Jct_I-29_&_SD_15,_South_Dakota","Watertown,_South_Dakota",27,65,I-29,1
7643,"Jct_I-29_&_US_169_N,_Kansas","Jct_I-29_&_US_36,_Missouri",5,55,I-29,1
7644,"Jct_I-29_&_US_169_N,_Kansas","Union_Star,_Missouri",21,45,US_169,1
7645,"Jct_I-29_&_US_18_S,_South_Dakota","Jct_US_18_&_SD_17,_South_Dakota",5,45,US_18,1
7646,"Jct_I-29_&_US_18_S,_South_Dakota","Worthing,_South_Dakota",3,65,I-29,1
7647,"Jct_I-29_&_US_34_N,_Iowa","Pacific_Junction,_Iowa",3,65,I-29,1
7648,"Jct_I-29_&_US_36,_Missouri","Jct_US_169_&_MO_31_S,_Missouri",8,45,US_169,1
7649,"Jct_I-29_&_US_36,_Missouri","St._Joseph,_Missouri",3,40,US_36,1
7650,"Jct_I-290_&_I-495,_Massachusetts","Marlborough,_Massachusetts",1,65,I-495,1
7651,"Jct_I-290_&_I-495,_Massachusetts","Worcester,_Massachusetts",13,65,I-290,1
7652,"Jct_I-295_&_US_1,_Florida","Jct_I-95_&_I-295_N,_Florida",7,55,I-295,1
7653,"Jct_I-295_&_US_6,_Rhode_Island","Jct_US_6_&_RI_10,_Rhode_Island",5,40,US_6,1
7654,"Jct_I-295_&_US_6,_Rhode_Island","Natick,_Rhode_Island",9,55,I-295,1
7655,"Jct_I-295_&_US_6,_Rhode_Island","North_Scituate,_Rhode_Island",5,40,US_6,1
7656,"Jct_I-30_&_AR_53,_Arkansas","Prescott,_Arkansas",17,65,I-30,1
7657,"Jct_I-30_&_I-430,_Arkansas","Jct_I-30_&_I-440,_Arkansas",9,55,I-30,1
7658,"Jct_I-30_&_I-430,_Arkansas","Jct_I-30_&_US_70,_Arkansas",18,65,I-30,1
7659,"Jct_I-30_&_I-430,_Arkansas","Jct_I-430_&_I-630,_Arkansas",6,55,I-430,1
7660,"Jct_I-30_&_I-440,_Arkansas","Jct_I-440_&_US_165,_Arkansas",7,55,I-440,1
7661,"Jct_I-30_&_I-440,_Arkansas","Jct_I-530/US_65_&_US_167_S,_Arkansas",10,65,I-530/US_65/167,1
7662,"Jct_I-30_&_I-440,_Arkansas","Little_Rock,_Arkansas",2,40,I-30,1
7663,"Jct_I-30_&_I-635,_Texas","Mesquite,_Texas",2,55,I-635,1
7664,"Jct_I-30_&_I-635,_Texas","Richardson,_Texas",11,55,I-635,1
7665,"Jct_I-30_&_I-820,_Texas","Richland_Hills,_Texas",5,55,I-820,1
7666,"Jct_I-30_&_US_259,_Texas","Mount_Pleasant,_Texas",16,65,I-30,1
7667,"Jct_I-30_&_US_259,_Texas","New_Boston,_Texas",24,65,I-30,1
7668,"Jct_I-35_&_I-135,_Kansas","Jct_I-35;_US_54/400_&_KS_96,_Kansas",10,65,Kansas_Tpk_[I-35],1
7669,"Jct_I-35_&_I-135,_Kansas","Wellington,_Kansas",23,65,Kansas_Tpk_[I-35],1
7670,"Jct_I-35_&_I-135,_Kansas","Wichita,_Kansas",6,40,I-135,1
7671,"Jct_I-35_&_I-335,_Kansas","Jct_I-35_&_US_77,_Kansas",52,65,Kansas_Tpk_[I-35],1
7672,"Jct_I-35_&_I-335,_Kansas","Miller,_Kansas",20,65,Kansas_Tpk_[I-335],1
7673,"Jct_I-35_&_I-335,_Kansas","Strong_City,_Kansas",21,45,US_50,1
7674,"Jct_I-35_&_I-40_E,_Oklahoma","Jct_I-40_&_I-240,_Oklahoma",13,55,I-40,1
7675,"Jct_I-35_&_I-40_E,_Oklahoma","Lake_Aluma,_Oklahoma",5,40,I-35,1
7676,"Jct_I-35_&_I-40_E,_Oklahoma","Oklahoma_City,_Oklahoma",2,40,I-35/40,1
7677,"Jct_I-35_&_I-44_N,_Oklahoma","Lake_Aluma,_Oklahoma",5,55,I-35/44,1
7678,"Jct_I-35_&_I-635,_Kansas","Jct_I-70_&_I-635,_Kansas",4,55,I-635,1
7679,"Jct_I-35_&_I-635,_Kansas","Merriam,_Kansas",2,55,I-35,1
7680,"Jct_I-35_&_I-635,_Kansas","Mission,_Kansas",2,55,I-635_Spur,1
7681,"Jct_I-35_&_I-635,_Kansas","Roeland_Park,_Kansas",1,40,I-35,1
7682,"Jct_I-35_&_I-80_E,_Iowa","Saylorville,_Iowa",2,55,I-35/80,1
7683,"Jct_I-35_&_I-90,_Minnesota","Jct_I-35_&_US_65,_Minnesota",6,65,I-35,1
